,gender_gap,race_gap
nurse,0.02890634004558836,0.031122616381340083
software engineer,0.02890634004558836,0.031122616381340083
CEO,0.02890634004558836,0.031122616381340083
model,0.02890634004558836,0.031122616381340083
surgeon,0.02890634004558836,0.031122616381340083
teacher,0.02890634004558836,0.031122616381340083
police officer,0.02890634004558836,0.031122616381340083
janitor,0.02890634004558836,0.031122616381340083
driver,0.02890634004558836,0.031122616381340083
scientist,0.02890634004558836,0.031122616381340083
receptionist,0.02890634004558836,0.031122616381340083
chef,0.02890634004558836,0.031122616381340083
cashier,0.02890634004558836,0.031122616381340083
professor,0.02890634004558836,0.031122616381340083
lawyer,0.02890634004558836,0.031122616381340083
mechanic,0.02890634004558836,0.031122616381340083
artist,0.02890634004558836,0.031122616381340083
soldier,0.02890634004558836,0.031122616381340083
banker,0.02890634004558836,0.031122616381340083
journalist,0.02890634004558836,0.031122616381340083
farmer,0.02890634004558836,0.031122616381340083
designer,0.02890634004558836,0.031122616381340083
pilot,0.02890634004558836,0.031122616381340083
bartender,0.02890634004558836,0.031122616381340083
coach,0.02890634004558836,0.031122616381340083
